antecedent_name	consequents_list	support	confidence	lift
Organic Grade A Free Range Large Brown Eggs	['Bag of Organic Bananas']	0.003429649318357198	0.2510460251046025	2.119313826375649
Organic D'Anjou Pears	['Organic Strawberries']	0.0035916049806129545	0.24917382683410444	2.9772372317923095
Organic Garnet Sweet Potato (Yam)	['Bag of Organic Bananas']	0.004915830689645317	0.24867469879518073	2.0992952475819315
Green Bell Pepper	['Banana']	0.004791982242037974	0.24827245804540968	1.7432881867451016
Organic Ginger Root	['Bag of Organic Bananas']	0.0038297750721655375	0.24662576687116564	2.0819983007210587
Organic Blackberries	['Banana']	0.00535406365810207	0.24638316527838666	1.7300221894291536
Organic Garnet Sweet Potato (Yam)	['Organic Baby Spinach']	0.004858669867672697	0.2457831325301205	3.299963938640209
Organic Small Bunch Celery	['Bag of Organic Bananas']	0.004877723474996903	0.24439140811455848	2.0631359928873136
Organic Whole String Cheese	['Banana']	0.0036773462135718843	0.24399494310998734	1.7132528726621208
Bunched Cilantro	['Banana']	0.0035058637476540248	0.24322538003965632	1.7078492518979602
Michigan Organic Kale	['Banana']	0.00481103584936218	0.2429052429052429	1.705601353403882
Organic Broccoli	['Organic Strawberries']	0.0030295235645488583	0.23873873873873874	2.8525542617176085
Organic Red Bell Pepper	['Organic Strawberries']	0.0043442224699191175	0.23861852433281006	2.85111788772249
Organic Gala Apples	['Banana']	0.005077786351901073	0.23699421965317918	1.6640960769506496
Organic Peeled Whole Baby Carrots	['Bag of Organic Bananas']	0.004420436899215944	0.23649337410805302	1.996461315747145
Large Alfresco Eggs	['Bag of Organic Bananas']	0.0034105957110329914	0.23568136932192232	1.9896064254153307
Original Hummus	['Banana']	0.00518258119218421	0.23529411764705882	1.6521585154230263
Organic Yellow Onion	['Bag of Organic Bananas']	0.007535701696723732	0.23326452373930995	1.96920357594854
Organic Ginger Root	['Organic Baby Spinach']	0.0036201853915992645	0.2331288343558282	3.1300632330299587
Organic Grape Tomatoes	['Banana']	0.006821191422065983	0.23201555411535968	1.6291375121297051
Organic Blackberries	['Organic Strawberries']	0.005030152333590557	0.23147742218325296	2.7657928940591363
Organic Lemon	['Organic Hass Avocado']	0.006135261558394543	0.23032904148783978	4.130693404724769
Organic Baby Carrots	['Bag of Organic Bananas']	0.006287690416988196	0.22940563086548488	1.9366270592775736
Organic Blueberries	['Bag of Organic Bananas']	0.008678918136176132	0.22912474849094566	1.9342558689761216
Garlic	['Large Lemon']	0.003343908085398268	0.22866449511400652	3.693218350304958
Organic Zucchini	['Bag of Organic Bananas']	0.007907247039545762	0.2280846386369882	1.9254753308515955
Organic Whole Milk	['Bag of Organic Bananas']	0.008621757314203511	0.22750125691302162	1.9205504611861945
Organic Large Extra Fancy Fuji Apple	['Organic Strawberries']	0.005049205940914764	0.22639897479709525	2.705113396417382
Organic Baby Spinach	['Bag of Organic Bananas']	0.016824335267274476	0.2258889741621898	1.906939677568166
Organic Grape Tomatoes	['Organic Baby Spinach']	0.006573494526851296	0.2235904082955282	3.001997235553429
Organic Ginger Root	['Organic Garlic']	0.003429649318357198	0.22085889570552147	7.168489704861309
Organic Cucumber	['Organic Strawberries']	0.00784055941391104	0.21999465383587277	2.628591784768362
Apple Honeycrisp Organic	['Organic Strawberries']	0.0037821410538550213	0.21982281284606867	2.626538553900204
Organic Garlic	['Bag of Organic Bananas']	0.006764030600093363	0.21954236239950525	1.8533620036986385
Limes	['Banana']	0.01010793868549163	0.2193961952026468	1.5405284916607285
Fresh Cauliflower	['Bag of Organic Bananas']	0.0044109100955538405	0.21932733301752724	1.851546739975131
Bunched Cilantro	['Large Lemon']	0.0031533720121562016	0.21877065432914738	3.5334204143664585
Garlic	['Banana']	0.0031819524231425115	0.21758957654723127	1.527843004979144
Organic Whole Milk	['Banana']	0.008240685167719378	0.2174459527400704	1.5268345254710662
Organic D'Anjou Pears	['Banana']	0.0031247916011698917	0.21678783873099802	1.5222134636481819
Carrots	['Banana']	0.004077471967380225	0.21648963075366717	1.5201195445394464
Jalapeno Peppers	['Banana']	0.0031914792268046147	0.21640826873385013	1.5195482469854873
Orange Bell Pepper	['Yellow Bell Pepper']	0.0030390503682109615	0.21627118644067797	24.38382129658286
Organic Granny Smith Apple	['Organic Strawberries']	0.003810721464841331	0.21482277121374865	2.5667958822986403
